Adventist Medical Center, Hanford;36.3236205,-119.6672586
Adventist Medical Center, Reedley;36.5963395,-119.4504029
AHMC Anaheim Regional Medical Center, Anaheim;33.8472942,-117.9340465
AHMC Anaheim Regional Medical Center, Anaheim;33.8472942,-117.9340465
AHMC Anaheim Regional Medical Center, Anaheim;33.8472942,-117.9340465
AHMC Anaheim Regional Medical Center, Anaheim;33.8472942,-117.9340465
Alameda County Medical Center, Oakland;37.797928,-122.232063
Alameda County Medical Center, Oakland;37.797928,-122.232063
Alameda County Medical Center, Oakland;37.797928,-122.232063
Alameda County Medical Center, Oakland;37.797928,-122.232063
Alameda Hospital;22.6587248,-102.9855391
Alameda Hospital;22.6587248,-102.9855391
Alhambra Hospital Medical Center;34.0903417,-118.1442688
Alhambra Hospital Medical Center;34.0903417,-118.1442688
Alhambra Hospital Medical Center;34.0903417,-118.1442688
Alta Bates Summit Medical Center, Alta Bates Campus, Berkeley;37.855928,-122.257303
Alta Bates Summit Medical Center, Alta Bates Campus, Berkeley;37.855928,-122.257303
Alta Bates Summit Medical Center, Oakland;37.8215185,-122.2632702
Alvarado Hospital Medical Center, Campus #1, San Diego;32.7762934,-117.0572994
Alvarado Hospital Medical Center, Campus #1, San Diego;32.7762934,-117.0572994
Alvarado Hospital Medical Center, Campus #1, San Diego;32.7762934,-117.0572994
Alvarado Hospital Medical Center, Campus #1, San Diego;32.7762934,-117.0572994
Antelope Valley Hospital, Lancaster;34.6879037,-118.1579787
Antelope Valley Hospital, Lancaster;34.6879037,-118.1579787
Arrowhead Regional Medical Center, Colton;34.0738889,-117.3511111
Arrowhead Regional Medical Center, Colton;34.0738889,-117.3511111
Arrowhead Regional Medical Center, Colton;34.0738889,-117.3511111
Bakersfield Heart Hospital;35.3850788,-119.0396698
Bakersfield Memorial Hospital;35.391069,-119.006212
Bakersfield Memorial Hospital;35.391069,-119.006212
Bakersfield Memorial Hospital;35.391069,-119.006212
Ballard Rehabilitation Hospital, San Bernardino;34.129316,-117.325485
Banner Lassen Medical Center, Susanville;40.4370222,-120.6282591
Banner Lassen Medical Center, Susanville;40.4370222,-120.6282591
Barlow Respiratory Hospital,  Los Angeles;34.0754151,-118.2476729
Barstow Community Hospital;34.8940462,-117.0188036
Barstow Community Hospital;34.8940462,-117.0188036
Barton Memorial Hospital, South Lake Tahoe;38.8412962,-120.0018488
Barton Memorial Hospital, South Lake Tahoe;38.8412962,-120.0018488
Bear Valley Community Hospital, Big Bear Lake;34.2464876,-116.8886416
Beverly Hospital, Montebello;34.015015,-118.100636
Beverly Hospital, Montebello;34.015015,-118.100636
Biggs Gridley Memorial Hospital, Gridley;39.3677158,-121.6892609
California Hospital Medical Center, Los Angeles;34.0373956,-118.2657814
California Hospital Medical Center, Los Angeles;34.0373956,-118.2657814
California Medical Facility, Vacaville;38.3329704,-121.9802029
California Mens Colony, San Luis Obispo;35.3213798,-120.6961243
California Pacific Medical Center, Davies Campus Hospital, SF;37.7749295,-122.4194155
California Pacific Medical Center, Davies Campus Hospital, SF;37.7749295,-122.4194155
California Pacific Medical Center, Pacific Campus Hospital, SF;37.7749295,-122.4194155
California Pacific Medical Center, Pacific Campus Hospital, SF;37.7749295,-122.4194155
California Pacific Medical Center, Pacific Campus Hospital, SF;37.7749295,-122.4194155
California Pacific Medical Center, St Luke's Campus, San Francisco;37.747164,-122.420881
California Pacific Medical Center, St Luke's Campus, San Francisco;37.747164,-122.420881
Casa Colina Hospital for Rehabilitative Medicine, Pomona;34.055103,-117.7499909
Cedars-Sinai Medical Center, Los Angeles;34.0764451,-118.3815233
Cedars-Sinai Medical Center, Los Angeles;34.0764451,-118.3815233
Cedars-Sinai Medical Center, Los Angeles;34.0764451,-118.3815233
Cedars-Sinai Medical Center, Los Angeles;34.0764451,-118.3815233
Cedars-Sinai Medical Center, Los Angeles;34.0764451,-118.3815233
Cedars-Sinai Medical Center, Los Angeles;34.0764451,-118.3815233
Centinela Hospital Medical Center, Inglewood;33.9506316,-118.3480211
Centinela Hospital Medical Center, Inglewood;33.9506316,-118.3480211
Centinela Hospital Medical Center, Inglewood;33.9506316,-118.3480211
Chapman Medical Center, Orange;33.7886131,-117.8262285
Childrens Hospital and Research Center at Oakland;37.8043637,-122.2711137
Children's Hospital at Mission, Mission Viejo;33.560996,-117.665455
Children's Hospital Central California, Madera;36.8842995,-119.799989
Children's Hospital Central California, Madera;36.8842995,-119.799989
Childrens Hospital of Los Angeles;34.0973893,-118.2900443
Childrens Hospital of Los Angeles;34.0973893,-118.2900443
Children's Hospital of Orange County, Orange;33.7807586,-117.8663458
Chinese Hospital, San Francisco;37.7954961,-122.4089419
Chino Valley Medical Center, Chino;34.0254347,-117.6856507
Citrus Valley Medical Center, IC , Covina;34.0900091,-117.8903397
Citrus Valley Medical Center, IC , Covina;34.0900091,-117.8903397
Clovis Community Medical Center;36.839043,-119.660354
Clovis Community Medical Center;36.839043,-119.660354
Coalinga Regional Medical Center;36.1521337,-120.3410283
Coast Plaza Hospital, Norwalk;33.912552,-118.098456
Coast Plaza Hospital, Norwalk;33.912552,-118.098456
College Hospital Costa Mesa;33.651829,-117.91198
College Hospital Costa Mesa;33.651829,-117.91198
Colorado River Medical Center, Needles;34.832642,-114.618271
Colusa Reg Medical Center;39.2065602,-122.0004115
Community and Mission Hospital of Huntington Park;33.9816812,-118.2250725
Community and Mission Hospital of Huntington Park;33.9816812,-118.2250725
Community Hospital Long Beach;33.7882433,-118.1456258
